word,difficulty
дім,easy
квартира,easy
кімната,easy
двері,easy
вікно,easy
стіна,easy
підлога,easy
стеля,easy
дах,easy
балкон,easy
кухня,easy
ванна,easy
ліжко,easy
стіл,easy
стілець,easy
диван,easy
шафа,easy
полиця,easy
лампа,easy
дзеркало,easy
килим,easy
подушка,easy
ковдра,easy
рушник,easy
ключ,easy
телефон,easy
ноутбук,easy
телевізор,easy
годинник,easy
камера,easy
книга,easy
газета,easy
лист,easy
ручка,easy
олівець,easy
зошит,easy
школа,easy
урок,easy
вчитель,easy
учень,easy
робота,easy
офіс,easy
магазин,easy
гроші,easy
ціна,easy
подарунок,easy
іграшка,easy
м'яч,easy
лялька,easy
гра,easy
музика,easy
пісня,easy
фільм,easy
фото,easy
картина,easy
танець,easy
свято,easy
торт,easy
свічка,easy
квіти,easy
дерево,easy
трава,easy
листок,easy
ліс,easy
парк,easy
сад,easy
річка,easy
озеро,easy
море,easy
пляж,easy
гора,easy
поле,easy
небо,easy
сонце,easy
місяць,easy
зірка,easy
хмара,easy
дощ,easy
сніг,easy
вітер,easy
лід,easy
вогонь,easy
вода,easy
земля,easy
камінь,easy
пісок,easy
дорога,easy
міст,easy
місто,easy
село,easy
вулиця,easy
площа,easy
зупинка,easy
вокзал,easy
аеропорт,easy
машина,easy
автобус,easy
поїзд,easy
літак,easy
велосипед,easy
човен,easy
колесо,easy
кермо,easy
квиток,easy
валіза,easy
сумка,easy
парасоля,easy
одяг,easy
сорочка,easy
штани,easy
сукня,easy
куртка,easy
шапка,easy
шарф,easy
рукавички,easy
взуття,easy
черевики,easy
шкарпетки,easy
кишеня,easy
ґудзик,easy
їжа,easy
хліб,easy
сир,easy
масло,easy
молоко,easy
яйце,easy
м'ясо,easy
риба,easy
суп,easy
салат,easy
каша,easy
картопля,easy
морква,easy
помідор,easy
огірок,easy
цибуля,easy
яблуко,easy
груша,easy
банан,easy
апельсин,easy
кавун,easy
полуниця,easy
цукор,easy
сіль,easy
чай,easy
кава,easy
сік,easy
чашка,easy
склянка,easy
тарілка,easy
ложка,easy
виделка,easy
ніж,easy
каструля,easy
холодильник,easy
людина,easy
дитина,easy
мама,easy
тато,easy
бабуся,easy
дідусь,easy
брат,easy
сестра,easy
друг,easy
сусід,easy
родина,easy
голова,easy
обличчя,easy
волосся,easy
око,easy
вухо,easy
ніс,easy
рот,easy
зуб,easy
рука,easy
нога,easy
палець,easy
серце,easy
кіт,easy
собака,easy
птах,easy
кінь,easy
корова,easy
свиня,easy
курка,easy
качка,easy
миша,easy
заєць,easy
ведмідь,easy
вовк,easy
лисиця,easy
лев,easy
тигр,easy
слон,easy
мавпа,easy
жирафа,easy
сон,easy
ранок,easy
вечір,easy
ніч,easy
день,easy
тиждень,easy
літо,easy
зима,easy
весна,easy
осінь,easy
усмішка,easy
сміх,easy
сльоза,easy
поцілунок,easy
обійми,easy
лікарня,easy
лікар,easy
