name,category
Albert Einstein,Scientist
Marie Curie,Scientist
Isaac Newton,Scientist
Charles Darwin,Scientist
Nikola Tesla,Inventor
Leonardo da Vinci,Artist
Vincent van Gogh,Artist
Pablo Picasso,Artist
William Shakespeare,Writer
J. K. Rowling,Writer
Sherlock Holmes,Fictional character
Harry Potter,Fictional character
Hermione Granger,Fictional character
James Bond,Fictional character
Spider-Man,Superhero
Batman,Superhero
Superman,Superhero
Wonder Woman,Superhero
Iron Man,Superhero
Captain America,Superhero
Elsa,Fictional character
Mickey Mouse,Fictional character
Shrek,Fictional character
Homer Simpson,Fictional character
Wednesday Addams,Fictional character
Indiana Jones,Fictional character
Forrest Gump,Fictional character
The Joker,Villain
Darth Vader,Villain
Thanos,Villain
Taylor Swift,Musician
Beyoncé,Musician
Ed Sheeran,Musician
Adele,Musician
Elvis Presley,Musician
Michael Jackson,Musician
Freddie Mercury,Musician
Lady Gaga,Musician
Rihanna,Musician
Bruno Mars,Musician
Tom Hanks,Actor
Leonardo DiCaprio,Actor
Jennifer Lawrence,Actor
Emma Watson,Actor
Dwayne Johnson,Actor
Keanu Reeves,Actor
Morgan Freeman,Actor
Zendaya,Actor
Charlie Chaplin,Actor
Marilyn Monroe,Actor
Lionel Messi,Athlete
Cristiano Ronaldo,Athlete
Serena Williams,Athlete
Michael Jordan,Athlete
Usain Bolt,Athlete
Roger Federer,Athlete
Muhammad Ali,Athlete
Simone Biles,Athlete
Tiger Woods,Athlete
Michael Phelps,Athlete
Steve Jobs,Business
Bill Gates,Business
Elon Musk,Business
Walt Disney,Business
Oprah Winfrey,TV personality
Gordon Ramsay,TV personality
MrBeast,Internet personality
David Attenborough,TV personality
Bear Grylls,TV personality
Greta Thunberg,Activist
Nelson Mandela,Historical figure
Mahatma Gandhi,Historical figure
Cleopatra,Historical figure
Napoleon Bonaparte,Historical figure
Julius Caesar,Historical figure
Queen Elizabeth II,Historical figure
Abraham Lincoln,Historical figure
Martin Luther King Jr.,Historical figure
Winston Churchill,Historical figure
Amelia Earhart,Explorer
Christopher Columbus,Explorer
Neil Armstrong,Astronaut
Yuri Gagarin,Astronaut
Santa Claus,Legendary character
Robin Hood,Legendary character
King Arthur,Legendary character
Dracula,Legendary character
Frankenstein's monster,Legendary character
Peter Pan,Fictional character
Alice in Wonderland,Fictional character
Winnie-the-Pooh,Fictional character
Pikachu,Fictional character
Mario,Fictional character
Lara Croft,Fictional character
SpongeBob SquarePants,Fictional character
Mr. Bean,Fictional character
Barbie,Fictional character
Gandalf,Fictional character
Frodo Baggins,Fictional character
Katniss Everdeen,Fictional character
Rocky Balboa,Fictional character
