target,forbidden1,forbidden2,forbidden3,forbidden4,forbidden5
beach,sand,sea,sun,water,swim
birthday,cake,candles,present,party,age
airplane,fly,airport,pilot,sky,travel
coffee,drink,cup,morning,caffeine,beans
telephone,call,talk,number,ring,mobile
teacher,school,student,class,lesson,learn
doctor,hospital,patient,medicine,sick,health
rain,water,cloud,umbrella,wet,weather
computer,screen,keyboard,mouse,internet,laptop
restaurant,food,menu,waiter,table,eat
library,books,read,quiet,shelf,borrow
wedding,bride,groom,marriage,ring,ceremony
football,ball,goal,team,player,field
camera,photo,picture,lens,film,take
train,station,rail,travel,ticket,carriage
chocolate,sweet,cocoa,candy,brown,dessert
mirror,reflection,look,glass,face,wall
garden,flowers,plants,grow,grass,outside
movie,film,cinema,actor,watch,screen
music,song,listen,singer,sound,radio
mountain,high,climb,snow,hill,peak
ocean,sea,water,waves,fish,deep
clock,time,hour,minute,watch,wall
book,read,pages,author,story,library
dog,animal,pet,bark,tail,puppy
cat,animal,pet,meow,kitten,mouse
apple,fruit,red,green,tree,eat
pizza,cheese,Italian,slice,food,oven
sleep,bed,night,dream,tired,rest
dance,music,move,party,steps,rhythm
money,cash,bank,pay,coin,buy
school,teacher,student,class,learn,lesson
holiday,travel,hotel,rest,summer,trip
fire,hot,burn,flame,smoke,heat
snow,cold,winter,white,ice,weather
bicycle,ride,wheels,pedal,helmet,bike
museum,art,history,exhibit,visit,gallery
supermarket,food,shopping,cart,buy,store
police,officer,crime,law,arrest,uniform
internet,online,website,browser,wifi,computer
guitar,music,strings,play,instrument,song
kitchen,cook,food,oven,room,fridge
passport,travel,country,border,document,airport
breakfast,morning,food,eat,meal,coffee
family,parents,children,home,relatives,love
secret,tell,private,hide,know,whisper
surprise,unexpected,gift,shock,party,secret
calendar,date,month,year,day,week
elevator,up,down,building,floor,lift
hospital,doctor,nurse,patient,sick,medicine
island,sea,ocean,land,beach,water
newspaper,news,read,paper,article,reporter
photograph,picture,camera,image,take,album
question,answer,ask,why,what,reply
traffic,cars,road,jam,drive,street
weather,rain,sun,cloud,forecast,temperature
weekend,Saturday,Sunday,work,rest,days
window,glass,open,close,wall,view
language,speak,words,English,learn,talk
memory,remember,past,forget,mind,brain
adventure,trip,danger,exciting,journey,story
suitcase,luggage,travel,pack,clothes,airport
vacation,holiday,travel,hotel,beach,rest
blanket,warm,bed,cover,sleep,soft
dream,sleep,night,imagine,remember,bed
friend,person,together,trust,meet,close
river,water,flow,bridge,bank,stream
airport,plane,travel,flight,passport,terminal
market,buy,sell,food,shop,price
concert,music,singer,stage,ticket,audience
rainbow,colours,rain,sky,sun,arc
medicine,doctor,sick,pharmacy,pill,health
office,work,desk,computer,boss,company
recipe,cook,food,ingredients,kitchen,book
theatre,stage,actor,play,audience,show
university,student,study,degree,teacher,campus
volcano,mountain,lava,eruption,hot,smoke
wallet,money,pocket,cards,cash,leather
whisper,quiet,voice,speak,secret,soft
zoo,animals,cages,visit,wild,park
